disease,symptom
Hepatitis E,yellowingofeyes
Hepatitis E,coma
Hepatitis E,stomachbleeding
Hepatitis E,acuteliverfailure
Alcoholic Hepatitis,vomiting
Alcoholic Hepatitis,yellowishskin
Alcoholic Hepatitis,abdominalpain
Alcoholic Hepatitis,swellingofstomach
Alcoholic Hepatitis,distentionofabdomen
Alcoholic Hepatitis,historyofalcoholconsumption
Alcoholic Hepatitis,fluidoverload
Tuberculosis,chills
Tuberculosis,vomiting
Tuberculosis,fatigue
Tuberculosis,weightloss
Tuberculosis,cough
Tuberculosis,highfever
Tuberculosis,breathlessness
Tuberculosis,sweating
Tuberculosis,lossofappetite
Tuberculosis,mildfever
Tuberculosis,yellowingofeyes
Tuberculosis,swelledlymphnodes
Tuberculosis,malaise
Tuberculosis,phlegm
Tuberculosis,chestpain
Tuberculosis,bloodinsputum
Common Cold,continuoussneezing
Common Cold,chills
Common Cold,fatigue
Common Cold,cough
Common Cold,highfever
Common Cold,headache
Common Cold,swelledlymphnodes
Common Cold,malaise
Common Cold,phlegm
Common Cold,throatirritation
Common Cold,rednessofeyes
Common Cold,sinuspressure
Common Cold,runnynose
Common Cold,congestion
Common Cold,chestpain
Common Cold,lossofsmell
Common Cold,musclepain
Pneumonia,chills
Pneumonia,fatigue
Pneumonia,cough
Pneumonia,highfever
Pneumonia,breathlessness
Pneumonia,sweating
Pneumonia,malaise
Pneumonia,chestpain
Pneumonia,fastheartrate
Pneumonia,rustysputum
Pneumonia,phlegm
Dimorphic Hemmorhoids(Piles),constipation
Dimorphic Hemmorhoids(Piles),painduringbowelmovements
Dimorphic Hemmorhoids(Piles),paininanalregion
Dimorphic Hemmorhoids(Piles),bloodystool
Dimorphic Hemmorhoids(Piles),irritationinanus
Heart Attack,vomiting
Heart Attack,breathlessness
Heart Attack,sweating
Heart Attack,chestpain
Varicose Veins,fatigue
Varicose Veins,cramps
Varicose Veins,bruising
Varicose Veins,obesity
Varicose Veins,swollenlegs
Varicose Veins,swollenbloodvessels
Varicose Veins,prominentveinsoncalf
Hypothyroidism,fatigue
Hypothyroidism,weightgain
Hypothyroidism,coldhandsandfeets
Hypothyroidism,moodswings
Hypothyroidism,lethargy
Hypothyroidism,dizziness
Hypothyroidism,puffyfaceandeyes
Hypothyroidism,enlargedthyroid
Hypothyroidism,brittlenails
Hypothyroidism,swollenextremeties
Hypothyroidism,depression
Hypothyroidism,irritability
Hypothyroidism,abnormalmenstruation
Hyperthyroidism,fatigue
Hyperthyroidism,moodswings
Hyperthyroidism,weightloss
Hyperthyroidism,restlessness
Hyperthyroidism,sweating
Hyperthyroidism,diarrhoea
Hyperthyroidism,fastheartrate
Hyperthyroidism,excessivehunger
Hyperthyroidism,muscleweakness
Hyperthyroidism,irritability
Hyperthyroidism,abnormalmenstruation
Hypoglycemia,vomiting
Hypoglycemia,fatigue
Hypoglycemia,anxiety
Hypoglycemia,sweating
Hypoglycemia,headache
Hypoglycemia,nausea
Hypoglycemia,blurredanddistortedvision
Hypoglycemia,excessivehunger
Hypoglycemia,slurredspeech
Hypoglycemia,irritability
Hypoglycemia,palpitations
Hypoglycemia,dryingandtinglinglips
Osteoarthristis,jointpain
Osteoarthristis,neckpain
Osteoarthristis,kneepain
Osteoarthristis,hipjointpain
Osteoarthristis,swellingjoints
Osteoarthristis,painfulwalking
Arthritis,muscleweakness
Arthritis,stiffneck
Arthritis,swellingjoints
Arthritis,movementstiffness
Arthritis,painfulwalking
(Vertigo) Paroymsal  Positional Vertigo,vomiting
(Vertigo) Paroymsal  Positional Vertigo,headache
(Vertigo) Paroymsal  Positional Vertigo,nausea
(Vertigo) Paroymsal  Positional Vertigo,spinningmovements
(Vertigo) Paroymsal  Positional Vertigo,lossofbalance
(Vertigo) Paroymsal  Positional Vertigo,unsteadiness
Acne,skinrash
Acne,pusfilledpimples
Acne,blackheads
Acne,scurring
Urinary Tract Infection,burningmicturition
Urinary Tract Infection,bladderdiscomfort
Urinary Tract Infection,foulsmellof_urine
Urinary Tract Infection,continuousfeelofurine
Psoriasis,skinrash
Psoriasis,jointpain
Psoriasis,skinpeeling
Psoriasis,silverlikedusting
Psoriasis,smalldentsinnails
Psoriasis,inflammatorynails
Impetigo,skinrash
Impetigo,highfever
Impetigo,blister
Impetigo,redsorearoundnose
Impetigo,yellowcrustooze
